id,water_bill,barrel,barrel_num,yard_size,home_garden,home_garden_num,attitude_env,temperature
1,212.73,Barrel,1,25811,No home garden,0,3,81.1
2,258.76,No barrel,0,39479,Home garden,1,7,65.1
3,156.49,Barrel,1,13297,No home garden,0,7,75.9
4,254.84,No barrel,0,28259,No home garden,0,2,70.6
5,194.78,Barrel,1,21479,No home garden,0,5,66.7
6,201.81,Barrel,1,28906,Home garden,1,8,75.3
7,210.42,No barrel,0,7041,No home garden,0,3,66.3
8,255.56,No barrel,0,29434,No home garden,0,4,71.3
9,187.88,Barrel,1,24779,Home garden,1,8,70
10,252.21,No barrel,0,29741,Home garden,1,9,68.4
11,174.36,Barrel,1,16931,No home garden,0,7,70.5
12,183.78,Barrel,1,10357,No home garden,0,8,74.4
13,202.02,Barrel,1,16071,No home garden,0,6,81
14,185.85,Barrel,1,14977,No home garden,0,6,73
15,211.61,Barrel,1,13053,No home garden,0,3,81.7
16,208,Barrel,1,24206,No home garden,0,4,70.3
17,181.79,No barrel,0,14641,No home garden,0,8,58.7
18,213.09,Barrel,1,15519,No home garden,0,3,78.6
19,174.12,No barrel,0,6782,No home garden,0,9,62.6
20,231.34,No barrel,0,19185,No home garden,0,5,66.1
21,219.84,No barrel,0,26319,Home garden,1,7,69.9
22,192.17,Barrel,1,35468,Home garden,1,7,75.2
23,236.49,Barrel,1,35299,No home garden,0,3,81.2
24,183.51,No barrel,0,8066,No home garden,0,8,70.9
25,179.93,No barrel,0,9509,No home garden,0,6,70.3
26,188.89,Barrel,1,21281,No home garden,0,2,69
27,265.28,No barrel,0,20160,No home garden,0,2,72.6
28,266.37,No barrel,0,28510,Home garden,1,7,71.5
29,142.15,Barrel,1,3815,No home garden,0,6,65
30,223.17,No barrel,0,11933,No home garden,0,4,71.4
31,265.78,No barrel,0,36989,Home garden,1,5,63
32,203.82,No barrel,0,13489,No home garden,0,5,73.2
33,250.57,No barrel,0,17570,No home garden,0,2,68.6
34,225.84,No barrel,0,17197,No home garden,0,3,72.7
35,261.62,No barrel,0,37644,Home garden,1,6,66.4
36,257.22,No barrel,0,33476,Home garden,1,7,70.9
37,233.64,No barrel,0,24009,No home garden,0,1,64
38,204.67,Barrel,1,10880,No home garden,0,4,81.1
39,271.29,No barrel,0,31316,Home garden,1,6,71.6
40,260.6,No barrel,0,34542,Home garden,1,5,72.5
41,233.32,No barrel,0,14983,No home garden,0,4,70.5
42,192.14,Barrel,1,27877,Home garden,1,9,66.2
43,233.46,Barrel,1,27994,No home garden,0,5,80.8
44,189.38,No barrel,0,15527,No home garden,0,2,68.7
45,171.08,Barrel,1,13715,No home garden,0,8,75
46,268.69,No barrel,0,28308,No home garden,0,2,72.1
47,222.04,No barrel,0,26454,No home garden,0,5,64
48,256.28,No barrel,0,29906,No home garden,0,4,72
49,213.61,No barrel,0,18501,Home garden,1,9,69.2
50,248.19,No barrel,0,26720,No home garden,0,5,73.5
51,270.18,No barrel,0,35343,Home garden,1,6,69.1
52,216.79,No barrel,0,12211,No home garden,0,6,70.1
53,235.35,Barrel,1,28904,Home garden,1,7,77.5
54,175.73,Barrel,1,13592,No home garden,0,6,74.2
55,210.69,No barrel,0,12990,No home garden,0,4,71.6
56,184.29,Barrel,1,9363,No home garden,0,7,74.2
57,239.13,No barrel,0,27521,Home garden,1,7,67.1
58,224.67,Barrel,1,24539,No home garden,0,3,73.9
59,250.85,No barrel,0,26410,No home garden,0,4,69.6
60,166.68,Barrel,1,12062,No home garden,0,6,71.4
61,235.72,Barrel,1,32672,No home garden,0,4,72.5
62,207.25,Barrel,1,34827,Home garden,1,6,72.4
63,205.15,Barrel,1,24811,No home garden,0,3,75.4
64,186,No barrel,0,13646,No home garden,0,6,66.1
65,223.82,No barrel,0,20140,No home garden,0,3,62.2
66,229.3,Barrel,1,24714,No home garden,0,4,69.6
67,219.04,No barrel,0,11316,No home garden,0,8,71.1
68,287.82,No barrel,0,23572,No home garden,0,4,73.8
69,253.42,No barrel,0,29730,No home garden,0,5,69.4
70,206.44,No barrel,0,12860,No home garden,0,6,67.7
71,213.55,No barrel,0,13761,No home garden,0,5,63.3
72,221.17,Barrel,1,25221,No home garden,0,4,68.1
73,227.28,No barrel,0,31993,Home garden,1,5,68.4
74,179.57,Barrel,1,31952,No home garden,0,5,60.7
75,254.44,No barrel,0,36695,Home garden,1,5,65.1
76,223,No barrel,0,16829,No home garden,0,1,61.9
77,212.64,No barrel,0,26067,Home garden,1,7,65.7
78,224.06,No barrel,0,23897,No home garden,0,7,69.2
79,234.41,No barrel,0,34248,Home garden,1,7,69.2
80,257.09,No barrel,0,28608,Home garden,1,7,72
81,126.53,Barrel,1,4832,No home garden,0,7,60.6
82,244.96,No barrel,0,24637,Home garden,1,6,68.1
83,252.02,No barrel,0,29531,Home garden,1,6,66.5
84,214.61,No barrel,0,18565,No home garden,0,5,67.2
85,219.13,No barrel,0,19108,No home garden,0,1,71.8
86,245.27,No barrel,0,30574,Home garden,1,6,71.9
87,229.19,No barrel,0,20286,No home garden,0,4,65.7
88,263.65,No barrel,0,16218,No home garden,0,4,69.7
89,182.68,No barrel,0,18107,No home garden,0,7,67.5
90,218.32,No barrel,0,23129,Home garden,1,8,71.1
91,189.43,Barrel,1,17230,Home garden,1,9,74.9
92,187.1,Barrel,1,24724,Home garden,1,7,65.1
93,247.13,No barrel,0,12219,No home garden,0,2,77
94,217.41,No barrel,0,27721,Home garden,1,6,60.8
95,244.46,No barrel,0,18977,No home garden,0,4,74.8
96,217.75,Barrel,1,25067,Home garden,1,7,74.5
97,199.82,Barrel,1,27990,Home garden,1,6,73.9
98,193.69,No barrel,0,16333,No home garden,0,6,66
99,267.4,No barrel,0,26412,No home garden,0,6,70.3
100,121.75,Barrel,1,6261,No home garden,0,5,66.9
101,218.11,No barrel,0,22827,No home garden,0,3,62.8
102,270.05,No barrel,0,28279,No home garden,0,4,67.8
103,191.1,Barrel,1,18408,No home garden,0,6,76.8
104,178.38,No barrel,0,11176,No home garden,0,6,62.2
105,175.22,No barrel,0,10682,No home garden,0,6,62.5
106,250.71,No barrel,0,25144,No home garden,0,4,69.3
107,239.01,No barrel,0,22087,No home garden,0,5,69.3
108,226.17,Barrel,1,33313,Home garden,1,8,77.9
109,221.65,No barrel,0,26079,No home garden,0,5,69
110,212.91,No barrel,0,21691,No home garden,0,5,66.1
111,182.32,Barrel,1,24941,Home garden,1,9,62.4
112,218.28,Barrel,1,28018,Home garden,1,8,71.4
113,230.27,No barrel,0,26331,Home garden,1,8,71.9
114,257.66,No barrel,0,32150,No home garden,0,4,68.1
115,210.18,Barrel,1,27143,No home garden,0,5,76
116,166.36,Barrel,1,15679,Home garden,1,9,69.6
117,240.31,Barrel,1,34956,No home garden,0,3,66.8
118,206.07,Barrel,1,23506,No home garden,0,4,78.7
119,218.62,No barrel,0,21556,No home garden,0,4,70.7
120,200.36,Barrel,1,11430,No home garden,0,2,75.8
121,195.36,Barrel,1,19677,No home garden,0,4,66.3
122,205.18,Barrel,1,28299,No home garden,0,4,65.8
123,185.46,Barrel,1,14878,No home garden,0,5,71
124,234.73,No barrel,0,19757,No home garden,0,5,78.1
125,251.71,No barrel,0,24519,No home garden,0,5,70
126,194.99,No barrel,0,27526,No home garden,0,6,57.9
127,225.89,No barrel,0,22271,No home garden,0,6,68.4
128,235.78,No barrel,0,17550,No home garden,0,3,71.4
129,216.38,No barrel,0,22228,No home garden,0,3,62
