wage,educ,ability,fathereduc
180.37,18.54,408.48,17.15
100.23,16.24,309.92,15.49
124.56,18.19,302.91,17.68
177.59,16.55,342.21,15.55
265.37,17.34,534.46,14.74
186.89,17.46,408.54,15.97
160.68,16.83,450.99,14.91
205.23,19.59,556.69,17
183.76,15.23,438.19,13.27
190.6,18.47,296.59,18.05
95.32,14.83,245.97,14.5
109.44,17.87,235.51,17.92
129.2,15.35,329.49,14.34
187.05,16.9,438.74,15.09
128.37,14.96,427.97,13.06
200.69,18.14,339.55,17.3
111.28,15.28,269.16,14.8
219.3,17.82,417.08,16.29
246.5,18.1,482.59,16.01
172.69,16.75,384.14,15.4
190.82,16.5,267.48,16.15
213.36,17.28,446.03,15.44
120.84,17.71,337.86,16.85
154.45,20.43,351.27,19.71
142.77,14.57,375.52,13.09
157.5,17.21,296.48,16.67
157.44,16.31,335.91,15.34
224.68,19.06,397.04,17.82
198.59,19.01,420.75,17.55
99.39,16.08,279.33,15.58
163.96,15.38,258.43,15
151.92,17.02,340.62,16.08
176.55,18.68,241.53,18.76
72.91,10.81,90.32,11.47
147.06,13.55,234.1,13.21
145.15,19.88,257.91,19.93
188.81,16.19,472.99,14.01
201.49,18.62,424.59,17.1
190.45,13.1,427.15,11.03
95.81,16.48,235.34,16.41
134.59,18.27,239.3,18.33
140.81,12.13,420.39,10.03
141.39,17.5,349.63,16.53
166.03,17.51,254.84,17.36
120.47,16.46,348.5,15.39
96.2,13.19,289.86,12.33
173.08,20.33,248.66,20.5
88.77,15.13,324.34,14.15
191.64,19.21,430.88,17.69
124.5,13.44,226.83,13.15
121.65,17.38,177.45,17.89
108.47,15.42,290.77,14.76
219.82,18.91,362.99,17.94
179.41,17.67,464.16,15.71
150.81,16.4,470.96,14.26
128.93,13.77,304.28,12.84
141.55,16.65,238.75,16.55
91.89,14.52,202.05,14.55
113.6,17.3,311.99,16.63
198.04,14.36,323.61,13.32
113.93,16.14,276.8,15.67
195.98,19.32,362.24,18.4
161.13,15.5,345.34,14.37
128.94,14.06,260.12,13.54
177.98,15.98,387.76,14.53
168.17,17.27,312.6,16.59
175.6,18.83,318.04,18.25
151.2,18.46,336.49,17.68
145.76,13.84,291.4,13.02
148.54,15.28,268.91,14.8
207.59,14.39,450.11,12.25
221.45,16.86,384.57,15.52
72.72,14.16,174.13,14.4
209.06,19.47,373.37,18.47
84.52,13.72,206.46,13.64
199.51,16.63,419.06,14.97
115.21,15.18,270.23,14.67
157.13,19.66,338.77,18.98
125.91,16.98,195.58,17.29
58.84,12.4,129.97,12.86
181.86,18.78,437.27,17.16
97.68,15.74,271.85,15.27
89.82,16.46,194.67,16.73
197.18,16.78,380.47,15.47
115.38,16.18,239.86,16.03
170.42,18.09,338.62,17.27
224.41,19.34,409.75,18.01
165.32,15.89,372.86,14.56
159.76,15.51,380.87,14.07
197.71,17.37,311.89,16.71
135.82,16.21,290.31,15.62
183.26,17.95,446.35,16.17
176.63,16.93,384.61,15.6
139.39,11.42,303.83,10.28
181.03,17.42,398.81,16.01
177.08,17.86,411.18,16.38
170.28,15.65,367.23,14.35
197.98,17.41,475.07,15.32
209.14,18.96,339.8,18.21
204.24,19.04,345.87,18.24
140.69,15.92,258.88,15.59
152,15.89,432,14.05
87.11,16.23,227.3,16.21
205.57,19.57,386.11,18.47
193.84,18.2,411.14,16.75
221.81,20.24,421.74,18.89
107.98,15.19,221.54,15.12
135.13,13.57,334.34,12.35
139.46,15.08,249.1,14.75
201.32,16.7,446.27,14.8
88.59,17.64,257.48,17.48
217.18,18.21,356.55,17.23
176.21,19.55,326.79,18.97
180.52,15.61,290.67,14.97
185.89,14.39,310.55,13.47
165.07,20.82,298.98,20.59
134.56,19.24,250.58,19.28
184.34,17.17,424.42,15.51
200.9,21.8,298.14,21.68
142.38,18.31,318.36,17.68
260.4,20.11,439.56,18.6
130.4,15.12,191.59,15.3
65.89,13.59,132.63,14.14
105.18,14.1,153.21,14.52
84.82,13.47,276.89,12.75
205.6,19.1,398.18,17.85
156.64,12.68,325.25,11.46
182.98,17.15,363.48,16.02
122.36,13.31,247.62,12.83
140.05,14.14,364.76,12.72
184.38,17.12,338.33,16.2
161.88,17.27,243.71,17.2
187.47,17.11,404.9,15.61
156.33,15.65,378.99,14.25
68.09,15.75,196.39,15.95
212.64,18.13,412.9,16.66
125.26,15.89,315.99,15.05
286.57,19.05,497.08,16.93
100.03,15.22,350.18,14.03
117.73,12.68,262.87,12.01
233.11,20.81,507.43,18.76
155.9,18.68,345.2,17.85
158.17,13.86,302.92,12.94
193.9,19.14,427.94,17.64
205.55,18.53,437.73,16.87
175.16,17.2,263.49,16.94
234.68,18.85,403.3,17.52
78.82,14.15,157.26,14.54
146.5,17.87,303.3,17.32
218.09,18.87,368.26,17.86
165.77,15.66,357.37,14.44
223.3,19.26,420.09,17.83
182.21,15.13,290.81,14.44
196.14,19.35,341.69,18.61
174.6,16.85,320.07,16.07
287.79,21.58,447.47,20.13
173.86,16.85,270.47,16.5
264.14,19.03,471.3,17.13
234.72,18.33,410.25,16.9
167.92,14.55,405.7,12.81
102.3,15.95,304.01,15.22
166.18,19.94,343.35,19.25
216.09,18.28,347.94,17.38
38.09,15.41,116.34,16.28
177.41,17.36,304.06,16.77
73.15,16.19,217.66,16.24
88.56,15.33,164.81,15.76
201.55,16.67,385.9,15.3
103.73,16.79,182.12,17.2
132.58,16.06,299.06,15.39
94.94,14.85,194.23,14.98
241.94,18.84,498.27,16.68
178.87,19.02,421.09,17.56
125.83,17.65,305.11,17.07
188.84,15.71,440.42,13.77
135.58,18.45,304.82,17.95
161.23,17.16,349.21,16.16
52.28,16.46,296.23,15.85
239.56,18.24,509.03,15.94
215.95,15.8,384.11,14.37
140.73,14.85,277.47,14.26
150.18,17.61,330.27,16.81
206.02,17.21,435.16,15.46
182.44,18.45,360.12,17.46
190.99,17.8,375.5,16.62
178.63,15.66,439.4,13.73
143.25,17.18,209.24,17.4
153.88,18.04,279.06,17.72
127.49,18.97,276.08,18.77
204.64,18.45,397.3,17.14
137.4,21.54,189.86,22.33
150.46,13.48,294.64,12.6
229.71,19.24,433.82,17.69
176.89,18.63,350.96,17.75
143.14,15.16,302.28,14.38
171.56,15.35,356.37,14.11
153.75,15.74,366.28,14.45
