id,sex,age,pre_income,program,post_income
1,1,45,979,1,1386
2,0,23,664,1,1148
3,0,42,729,1,1341
4,0,34,744,1,1267
5,0,53,769,1,1455
6,0,33,762,0,1143
7,1,20,846,1,1131
8,1,40,674,1,1340
9,0,39,747,1,1297
10,1,35,744,0,1190
11,0,24,763,1,1161
12,1,27,740,1,1211
13,1,35,920,1,1293
14,0,45,877,1,1381
15,1,31,824,1,1250
16,0,26,658,0,1091
17,1,8,1093,0,916
18,1,40,894,1,1333
19,1,39,923,0,1233
20,1,48,611,1,1421
21,1,50,778,1,1442
22,1,34,877,1,1278
23,1,48,839,1,1415
24,1,35,861,0,1194
25,1,28,859,1,1217
26,0,27,756,1,1190
27,1,32,775,1,1256
28,0,37,707,0,1193
29,0,35,909,1,1262
30,1,37,606,1,1305
31,1,37,772,1,1314
32,1,42,881,1,1363
33,1,32,779,1,1259
34,1,51,945,1,1454
35,1,39,884,1,1341
36,0,23,713,1,1147
37,1,32,794,1,1253
38,1,40,801,1,1344
39,0,31,827,1,1228
40,0,38,747,1,1300
41,1,39,738,1,1329
42,0,48,774,1,1400
43,1,28,891,1,1224
44,0,35,912,0,1168
45,1,29,740,1,1231
46,1,24,806,1,1179
47,0,17,700,1,1079
48,1,37,724,1,1304
49,1,41,739,1,1358
50,0,41,668,1,1338
51,1,21,599,1,1147
52,1,24,877,1,1170
53,0,24,841,1,1141
54,1,28,717,1,1224
55,1,37,896,0,1207
56,1,41,981,1,1351
57,1,27,545,0,1107
58,0,6,915,0,883
59,1,45,923,1,1390
60,0,41,815,0,1233
61,0,28,748,1,1202
62,1,24,690,0,1081
63,1,32,712,1,1262
64,1,36,736,1,1301
65,1,42,589,0,1261
66,0,49,735,1,1409
67,1,27,899,1,1209
68,1,38,725,0,1212
69,1,48,957,1,1414
70,1,26,795,1,1202
71,1,33,811,1,1265
72,0,17,848,1,1083
73,1,38,706,0,1220
74,0,29,723,1,1201
75,1,26,758,1,1200
76,1,27,977,1,1214
77,1,39,843,1,1338
78,1,13,791,0,963
79,1,31,688,1,1240
80,0,25,791,0,1073
81,0,25,839,0,1072
82,1,40,764,0,1246
83,1,39,711,0,1223
84,1,34,705,1,1267
85,1,40,778,0,1246
86,0,29,834,0,1105
87,1,15,897,1,1096
88,1,47,666,1,1413
89,1,33,720,1,1273
90,0,31,595,1,1233
91,1,37,811,1,1301
92,0,43,872,1,1346
93,1,39,825,1,1329
94,1,44,923,1,1379
95,1,35,858,1,1287
96,1,30,741,1,1239
97,1,32,945,1,1264
98,1,43,844,0,1273
99,1,27,858,1,1201
100,0,25,708,1,1175
101,1,38,775,1,1324
102,1,41,678,1,1351
103,1,18,793,1,1124
104,1,43,936,0,1261
105,1,35,754,0,1190
106,1,33,807,0,1168
107,1,46,878,1,1403
108,1,50,641,1,1443
109,1,24,663,0,1076
110,1,45,707,1,1393
111,0,29,830,1,1203
112,1,36,808,0,1206
113,0,40,925,0,1216
114,1,36,677,1,1299
115,1,20,756,1,1143
116,0,30,590,0,1115
117,0,50,962,1,1434
118,1,37,908,1,1309
119,1,27,736,1,1201
120,0,28,775,1,1202
121,0,46,787,1,1382
122,0,38,980,0,1199
123,0,26,804,1,1173
124,0,35,841,1,1272
125,1,41,870,1,1354
126,1,52,869,1,1452
127,1,26,633,0,1101
128,1,31,874,1,1262
129,1,45,708,1,1390
130,1,30,797,1,1247
131,0,50,607,1,1414
132,0,45,821,1,1370
133,1,18,699,1,1117
134,1,39,582,1,1327
135,0,21,633,0,1019
136,1,20,658,1,1142
137,0,36,855,1,1272
138,1,36,831,1,1296
139,0,35,869,0,1163
140,0,48,747,1,1392
141,1,38,818,0,1223
142,0,28,841,1,1205
143,1,36,791,1,1312
144,1,30,689,0,1137
145,1,34,913,1,1274
146,0,24,967,1,1150
147,0,34,1002,1,1262
148,1,36,889,0,1199
149,0,28,781,1,1203
150,1,35,787,1,1298
151,1,29,769,1,1235
152,1,29,774,0,1126
153,1,33,795,1,1268
154,0,40,603,0,1215
155,1,33,801,1,1269
156,0,37,824,1,1290
157,0,45,705,1,1373
158,0,32,624,1,1242
159,1,34,764,1,1272
160,1,40,488,0,1233
161,1,22,967,1,1156
162,1,40,869,1,1349
163,1,30,702,1,1228
164,1,24,802,0,1072
165,1,17,783,0,1006
166,0,28,634,0,1103
167,1,23,712,0,1079
168,1,23,897,0,1075
169,0,51,684,1,1426
170,1,23,725,1,1166
171,0,45,725,1,1370
172,1,40,923,1,1345
