wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.6450910568237305
808,50,119,41,18,11,16,37,1,0,0,1,1,NA,14,14,6.694561958312988
825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.715383529663086
650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.476972579956055
562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.3315019607543945
1400,40,116,43,16,14,2,35,1,1,0,1,1,2,8,NA,7.244227409362793
600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.396929740905762
1081,40,114,50,18,8,14,38,1,0,0,1,2,3,8,NA,6.985641956329346
1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.050989627838135
1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.907755374908447
930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.835184574127197
921,38,102,45,14,9,11,33,1,0,0,0,1,2,16,NA,6.825459957122803
900,45,125,40,15,4,3,30,0,0,0,0,2,NA,12,12,6.802394866943359
1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.183870792388916
1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.491087436676025
958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.864847660064697
1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.215240001678467
850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.745236396789551
830,44,105,29,14,4,7,29,1,0,0,1,3,1,12,NA,6.721425533294678
471,44,101,34,12,13,7,31,1,0,0,1,3,2,8,NA,6.154858112335205
1275,40,123,37,14,9,1,31,1,0,0,1,0,1,12,NA,7.150701522827148
1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.38709020614624
873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.77193546295166
2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.667158126831055
1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.9593987464904785
1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.3790082931518555
1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.080026626586914
800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.684611797332764
1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.2562971115112305
635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.453625202178955
1000,40,103,40,12,17,2,34,1,0,0,1,1,1,8,NA,6.907755374908447
1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.26122522354126
2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.889084339141846
666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.5012898445129395
1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.483806610107422
782,40,92,24,13,9,10,31,1,0,0,1,3,3,8,NA,6.6618547439575195
1572,35,108,39,14,7,5,28,1,1,0,1,1,NA,12,8,7.360104084014893
1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.149916648864746
714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.570882797241211
1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.985641956329346
692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.539586067199707
1318,38,122,47,17,10,9,33,1,0,0,1,1,NA,12,8,7.183870792388916
1239,45,109,44,12,16,4,38,1,0,0,1,3,3,12,NA,7.1220598220825195
1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.934397220611572
1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.4662275314331055
981,40,122,41,14,9,15,35,0,0,0,1,3,2,12,NA,6.888572692871094
770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.646390438079834
1154,50,94,37,16,11,5,33,1,0,0,1,1,NA,12,12,7.050989627838135
1155,40,102,36,12,16,5,34,1,0,0,1,1,2,12,NA,7.051855564117432
