PublicHousing,HealthStatus,Supply,WaitingTime,HealthBehavior,Stamp,ParentsHealthStatus,Age,Race,Education,MaritalStatus,Race_4,Race_2,Race_1,Race_3,MaritalStatus_4,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3
22,10,5,19,12,183,15,45,4,2,4,1,0,0,0,1,0,0,0
32,11,6,34,9,224,14,50,2,1,1,0,1,0,0,0,1,0,0
31,10,6,35,9,234,11,41,2,1,2,0,1,0,0,0,0,1,0
33,13,6,18,17,242,17,46,1,2,1,0,0,1,0,0,1,0,0
38,12,5,35,12,206,8,41,4,2,3,1,0,0,0,0,0,0,1
30,12,4,17,17,208,14,43,1,3,4,0,0,1,0,1,0,0,0
31,11,8,20,16,195,10,37,1,3,4,0,0,1,0,1,0,0,0
32,12,4,23,16,215,10,39,3,3,2,0,0,0,1,0,0,1,0
31,12,4,28,12,213,13,52,2,1,1,0,1,0,0,0,1,0,0
16,6,0,26,7,241,17,49,3,2,4,0,0,0,1,1,0,0,0
37,15,5,19,19,172,17,52,2,4,4,0,1,0,0,1,0,0,0
26,9,6,31,7,233,12,47,4,1,4,1,0,0,0,1,0,0,0
32,10,5,31,13,192,16,29,2,2,1,0,1,0,0,0,1,0,0
41,15,7,26,17,234,11,44,4,4,3,1,0,0,0,0,0,0,1
30,10,2,32,10,150,7,43,2,3,3,0,1,0,0,0,0,0,1
21,8,5,15,13,140,10,45,4,3,1,1,0,0,0,0,1,0,0
40,15,5,24,19,224,14,39,3,2,3,0,0,0,1,0,0,0,1
28,10,6,25,11,164,9,43,3,2,4,0,0,0,1,1,0,0,0
19,9,3,19,10,231,11,52,1,3,3,0,0,1,0,0,0,0,1
25,8,5,28,10,191,17,35,1,4,2,0,0,1,0,0,0,1,0
28,11,8,21,13,208,13,49,3,3,1,0,0,0,1,0,1,0,0
47,17,6,25,21,243,16,48,2,2,4,0,1,0,0,1,0,0,0
19,9,7,12,12,157,13,55,4,1,3,1,0,0,0,0,0,0,1
45,16,4,31,18,207,10,40,4,2,2,1,0,0,0,0,0,1,0
42,15,5,33,15,166,11,43,4,4,4,1,0,0,0,1,0,0,0
14,6,3,18,9,243,8,51,4,1,1,1,0,0,0,0,1,0,0
27,9,4,30,10,206,14,42,2,1,3,0,1,0,0,0,0,0,1
41,15,5,29,17,192,13,46,4,3,2,1,0,0,0,0,0,1,0
4,4,2,13,6,192,13,43,2,2,2,0,1,0,0,0,0,1,0
15,6,5,25,5,187,10,46,1,1,4,0,0,1,0,1,0,0,0
39,13,7,32,13,188,11,44,3,1,3,0,0,0,1,0,0,0,1
45,16,3,27,20,144,18,39,2,1,4,0,1,0,0,1,0,0,0
41,13,6,35,14,153,11,40,4,2,3,1,0,0,0,0,0,0,1
14,4,3,31,3,125,8,42,4,2,1,1,0,0,0,0,1,0,0
17,7,5,22,7,223,12,43,2,1,2,0,1,0,0,0,0,1,0
28,9,6,26,12,221,11,37,2,3,4,0,1,0,0,1,0,0,0
28,9,5,32,8,201,12,49,2,4,4,0,1,0,0,1,0,0,0
24,8,1,32,8,166,10,44,4,3,2,1,0,0,0,0,0,1,0
30,11,3,26,12,162,11,54,1,1,3,0,0,1,0,0,0,0,1
23,9,7,21,10,147,11,54,4,3,4,1,0,0,0,1,0,0,0
29,10,6,29,10,203,7,43,1,4,2,0,0,1,0,0,0,1,0
29,11,5,21,14,199,9,45,2,3,1,0,1,0,0,0,1,0,0
33,11,5,27,14,197,10,44,1,3,1,0,0,1,0,0,1,0,0
41,15,5,30,16,201,10,43,4,3,2,1,0,0,0,0,0,1,0
33,13,5,19,17,222,12,47,3,4,1,0,0,0,1,0,1,0,0
32,13,5,24,14,218,4,47,3,1,1,0,0,0,1,0,1,0,0
24,8,4,30,8,197,9,42,1,4,3,0,0,1,0,0,0,0,1
33,12,6,28,13,205,9,46,4,1,3,1,0,0,0,0,0,0,1
43,15,7,22,21,219,11,30,2,4,3,0,1,0,0,0,0,0,1
9,3,4,20,5,173,10,40,4,2,4,1,0,0,0,1,0,0,0
25,10,4,15,15,212,10,44,2,2,3,0,1,0,0,0,0,0,1
35,12,5,32,12,180,11,52,3,1,2,0,0,0,1,0,0,1,0
40,14,4,27,18,177,13,41,4,1,1,1,0,0,0,0,1,0,0
31,12,6,18,17,224,16,42,3,1,1,0,0,0,1,0,1,0,0
45,15,6,31,18,239,6,38,2,2,3,0,1,0,0,0,0,0,1
49,17,7,38,16,179,16,42,1,4,1,0,0,1,0,0,1,0,0
28,11,5,18,15,165,15,43,4,2,2,1,0,0,0,0,0,1,0
33,13,4,20,17,166,16,42,2,3,2,0,1,0,0,0,0,1,0
24,8,4,28,9,164,11,41,4,2,4,1,0,0,0,1,0,0,0
38,13,6,33,13,209,11,37,2,2,1,0,1,0,0,0,1,0,0
24,9,5,24,11,174,9,34,1,3,4,0,0,1,0,1,0,0,0
17,7,4,15,12,153,11,34,1,1,1,0,0,1,0,0,1,0,0
57,18,9,35,21,163,8,40,1,2,4,0,0,1,0,1,0,0,0
20,7,4,22,10,221,9,39,1,3,2,0,0,1,0,0,0,1,0
27,9,10,22,11,222,12,45,1,2,1,0,0,1,0,0,1,0,0
26,9,6,26,10,188,10,41,4,3,2,1,0,0,0,0,0,1,0
36,12,7,25,16,194,13,41,2,3,1,0,1,0,0,0,1,0,0
34,12,7,29,12,218,16,51,4,1,1,1,0,0,0,0,1,0,0
23,8,5,27,8,207,6,49,2,4,2,0,1,0,0,0,0,1,0
55,18,7,35,21,207,13,36,4,1,1,1,0,0,0,0,1,0,0
32,12,4,26,13,215,8,55,1,4,4,0,0,1,0,1,0,0,0
11,5,6,18,7,200,15,40,3,4,3,0,0,0,1,0,0,0,1
40,14,6,29,16,168,10,39,1,3,3,0,0,1,0,0,0,0,1
23,8,7,28,7,169,13,55,4,4,2,1,0,0,0,0,0,1,0
22,9,10,15,12,205,16,46,1,3,3,0,0,1,0,0,0,0,1
41,14,8,22,20,230,13,38,1,4,2,0,0,1,0,0,0,1,0
31,12,6,23,14,229,14,46,2,3,4,0,1,0,0,1,0,0,0
20,8,3,22,10,255,8,45,2,2,1,0,1,0,0,0,1,0,0
48,18,6,25,21,203,14,43,2,1,2,0,1,0,0,0,0,1,0
31,11,5,23,15,148,7,37,1,3,3,0,0,1,0,0,0,0,1
34,11,7,32,11,157,13,39,2,2,1,0,1,0,0,0,1,0,0
24,9,6,23,11,200,11,38,4,3,2,1,0,0,0,0,0,1,0
23,6,7,32,6,208,12,29,2,2,3,0,1,0,0,0,0,0,1
12,3,4,33,1,198,10,36,1,3,1,0,0,1,0,0,1,0,0
20,7,3,25,9,197,12,41,3,3,2,0,0,0,1,0,0,1,0
31,11,5,30,11,176,8,45,4,2,2,1,0,0,0,0,0,1,0
22,8,5,28,7,202,12,49,2,1,1,0,1,0,0,0,1,0,0
19,6,7,21,9,256,3,41,1,4,3,0,0,1,0,0,0,0,1
31,11,5,30,11,140,7,47,1,3,2,0,0,1,0,0,0,1,0
27,10,4,20,14,213,11,52,1,3,2,0,0,1,0,0,0,1,0
46,17,7,24,21,243,9,45,2,4,3,0,1,0,0,0,0,0,1
35,12,4,28,15,226,8,40,4,4,3,1,0,0,0,0,0,0,1
41,15,3,30,17,210,9,42,2,4,4,0,1,0,0,1,0,0,0
18,6,6,25,7,212,6,43,4,3,3,1,0,0,0,0,0,0,1
45,17,5,23,21,194,15,47,2,3,3,0,1,0,0,0,0,0,1
37,14,3,25,17,202,17,47,2,3,1,0,1,0,0,0,1,0,0
21,8,5,22,10,155,10,43,1,1,1,0,0,1,0,0,1,0,0
31,12,4,19,16,210,15,51,2,1,3,0,1,0,0,0,0,0,1
32,9,6,37,8,188,10,41,4,1,4,1,0,0,0,1,0,0,0
31,10,7,35,8,181,7,42,2,4,4,0,1,0,0,1,0,0,0
30,11,4,30,12,237,7,41,3,2,1,0,0,0,1,0,1,0,0
41,15,5,31,16,194,6,44,3,2,3,0,0,0,1,0,0,0,1
38,14,4,31,15,230,11,44,3,2,2,0,0,0,1,0,0,1,0
35,14,4,21,17,192,15,57,1,4,1,0,0,1,0,0,1,0,0
20,8,4,17,12,186,15,38,1,1,2,0,0,1,0,0,0,1,0
45,16,6,29,18,247,10,55,3,4,1,0,0,0,1,0,1,0,0
19,7,7,20,9,181,13,50,1,2,4,0,0,1,0,1,0,0,0
39,13,5,29,16,184,13,40,4,3,2,1,0,0,0,0,0,1,0
31,13,5,19,16,184,12,51,4,2,1,1,0,0,0,0,1,0,0
48,16,5,35,17,183,11,44,4,2,1,1,0,0,0,0,1,0,0
39,15,6,22,19,203,11,51,4,4,1,1,0,0,0,0,1,0,0
51,17,8,34,18,209,7,50,4,1,1,1,0,0,0,0,1,0,0
42,16,4,28,18,245,14,47,1,3,2,0,0,1,0,0,0,1,0
46,16,5,32,18,227,11,40,3,1,4,0,0,0,1,1,0,0,0
32,12,5,22,15,161,10,44,1,3,3,0,0,1,0,0,0,0,1
