wave,timestamp,teacher,id_in_class,treatment,math_feeling,good_at_math,math_easy_hard,math_stressed,survey_stressed,math_anxiety
1,2019/01/29 6:12:22 PM MST,Teacher 1,1,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/29 6:13:16 PM MST,Teacher 1,2,Math story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:14:04 PM MST,Teacher 1,4,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/29 6:14:42 PM MST,Teacher 1,5,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/29 6:15:39 PM MST,Teacher 1,6,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:16:36 PM MST,Teacher 1,7,Math story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:17:27 PM MST,Teacher 1,8,Math story,:(,I'm good at math,Math is fine.,Yes,No,Yes
1,2019/01/29 6:18:35 PM MST,Teacher 1,9,Math story,:(,Not good,Math is easy.,Yes,No,Yes
1,2019/01/29 6:20:03 PM MST,Teacher 1,10,Math story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:20:52 PM MST,Teacher 1,11,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:21:53 PM MST,Teacher 1,12,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:22:39 PM MST,Teacher 1,14,Math story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:24:00 PM MST,Teacher 1,15,Math story,:),I'm good at math,Math is easy.,No,No,No
1,2019/01/29 6:24:30 PM MST,Teacher 1,16,Math story,:),I'm okay,Math is fine.,No,No,No
1,2019/01/29 6:25:35 PM MST,Teacher 1,18,Math story,:|,I'm okay,Math is hard.,No,No,No
1,2019/01/29 6:26:04 PM MST,Teacher 1,19,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/29 6:26:31 PM MST,Teacher 1,20,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:27:02 PM MST,Teacher 1,21,Math story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/29 6:27:38 PM MST,Teacher 1,22,Math story,:|,I'm okay,Math is hard.,Yes,No,Yes
1,2019/01/29 6:28:03 PM MST,Teacher 1,23,Math story,:),"Not just good, I'm great!",Math is fine.,No,No,No
1,2019/01/29 6:28:54 PM MST,Teacher 1,24,Math story,:(,Not good,Math is hard.,Yes,No,Yes
1,2019/01/29 6:29:22 PM MST,Teacher 1,25,Math story,:),I'm good at math,Math is easy.,Yes,No,Yes
1,2019/01/29 6:30:16 PM MST,Teacher 1,26,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:30:49 PM MST,Teacher 1,27,Math story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/29 6:31:21 PM MST,Teacher 1,28,Math story,:|,I'm okay,Math is hard.,Yes,No,Yes
1,2019/01/29 6:31:57 PM MST,Teacher 1,29,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/29 6:32:28 PM MST,Teacher 1,30,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:32:57 PM MST,Teacher 1,31,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/29 6:37:57 PM MST,Teacher 4,0,Normal story,:),I'm good at math,Math is easy.,No,No,No
1,2019/01/29 6:38:38 PM MST,Teacher 4,1,Normal story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/29 6:39:55 PM MST,Teacher 4,2,Normal story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/29 6:42:04 PM MST,Teacher 4,3,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/30 7:54:55 PM MST,Teacher 4,4,Normal story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/30 7:55:48 PM MST,Teacher 4,6,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/30 7:56:26 PM MST,Teacher 4,7,Normal story,:|,I'm okay,Math is fine.,Yes,Yes,Yes
1,2019/01/30 7:57:15 PM MST,Teacher 4,8,Normal story,:),"Not just good, I'm great!",Math is fine.,NA,No,NA
1,2019/01/30 7:58:54 PM MST,Teacher 4,9,Normal story,:|,I'm good at math,Math is fine.,Yes,No,Yes
1,2019/01/30 7:59:23 PM MST,Teacher 4,10,Normal story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/30 7:59:50 PM MST,Teacher 4,11,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:00:22 PM MST,Teacher 4,12,Normal story,:),"Not just good, I'm great!",Math is easy.,No,Yes,No
1,2019/01/30 8:00:53 PM MST,Teacher 4,13,Normal story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:01:45 PM MST,Teacher 4,14,Normal story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/30 8:02:13 PM MST,Teacher 4,15,Normal story,:),I'm good at math,Math is easy.,No,No,No
1,2019/01/30 8:03:18 PM MST,Teacher 4,16,Normal story,:(,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/30 8:04:08 PM MST,Teacher 4,17,Normal story,:),I'm good at math,NA,No,No,No
1,2019/01/30 8:05:01 PM MST,Teacher 4,18,Normal story,:(,I'm okay,Math is hard.,Yes,NA,Yes
1,2019/01/30 8:05:38 PM MST,Teacher 4,20,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/30 8:07:40 PM MST,Teacher 4,21,Normal story,:(,I'm okay,NA,Yes,No,Yes
1,2019/01/30 8:10:57 PM MST,Teacher 4,22,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:12:52 PM MST,Teacher 4,23,Normal story,:(,I'm okay,Math is fine.,Yes,Yes,Yes
