State,Quarter,Rate,Quarter_Num
Alaska,Q42010,0.75,1
Alaska,Q12011,0.77,2
Alaska,Q22011,0.77,3
Alaska,Q32011,0.78,4
Alaska,Q42011,0.78,5
Alaska,Q12012,0.79,6
Arizona,Q42010,0.2634,1
Arizona,Q12011,0.20920000000000002,2
Arizona,Q22011,0.2261,3
Arizona,Q32011,0.2503,4
Arizona,Q42011,0.2351,5
Arizona,Q12012,0.2587,6
California,Q42010,0.2666,1
California,Q12011,0.2731,2
California,Q22011,0.2743,3
California,Q32011,0.2636,4
California,Q42011,0.2607,5
California,Q12012,0.2641,6
Colorado,Q42010,0.6653,1
Colorado,Q12011,0.6674,2
Colorado,Q22011,0.6736,3
Colorado,Q32011,0.6715000000000001,4
Colorado,Q42011,0.6698999999999999,5
Colorado,Q12012,0.6594,6
Connecticut,Q42010,0.39049999999999996,1
Connecticut,Q12011,0.38530000000000003,2
Connecticut,Q22011,0.39520000000000005,3
Connecticut,Q32011,0.4031,4
Connecticut,Q42011,0.3864,5
Connecticut,Q12012,0.39840000000000003,6
District of Columbia,Q42010,0.3319,1
District of Columbia,Q12011,0.2866,2
District of Columbia,Q22011,0.29510000000000003,3
District of Columbia,Q32011,0.40240000000000004,4
District of Columbia,Q42011,0.3791,5
District of Columbia,Q12012,0.36460000000000004,6
Florida,Q42010,0.3753,1
Florida,Q12011,0.3795,2
Florida,Q22011,0.3947,3
Florida,Q32011,0.4181,4
Florida,Q42011,0.40369999999999995,5
Florida,Q12012,0.40700000000000003,6
Hawaii,Q42010,0.41700000000000004,1
Hawaii,Q12011,0.4105,2
Hawaii,Q22011,0.42710000000000004,3
Hawaii,Q32011,0.4294,4
Hawaii,Q42011,0.4307,5
Hawaii,Q12012,0.4108,6
Louisiana,Q42010,0.5372,1
Louisiana,Q12011,0.546,2
Louisiana,Q22011,0.5619,3
Louisiana,Q32011,0.5949,4
Louisiana,Q42011,0.551,5
Louisiana,Q12012,0.5486,6
Maryland,Q42010,0.4635,1
Maryland,Q12011,0.45289999999999997,2
Maryland,Q22011,0.4679,3
Maryland,Q32011,0.45899999999999996,4
Maryland,Q42011,0.495,5
Maryland,Q12012,0.456,6
Michigan,Q42010,0.1563,1
Michigan,Q12011,0.1491,2
Michigan,Q22011,0.1923,3
Michigan,Q32011,0.24609999999999999,4
Michigan,Q42011,0.22940000000000002,5
Michigan,Q12012,0.4216,6
Minnesota,Q42010,0.5357999999999999,1
Minnesota,Q12011,0.5173,2
Minnesota,Q22011,0.5202,3
Minnesota,Q32011,0.5246,4
Minnesota,Q42011,0.528,5
Minnesota,Q12012,0.5398,6
Missouri,Q42010,0.4025,1
Missouri,Q12011,0.3987,2
Missouri,Q22011,0.40630000000000005,3
Missouri,Q32011,0.4089,4
Missouri,Q42011,0.415,5
