id,entrance_exam,exit_exam,tutoring
1,92.4,78.1,FALSE
2,72.8,58.2,FALSE
3,53.7,62,TRUE
4,98.3,67.5,FALSE
5,69.7,54.1,TRUE
6,68.1,60.1,TRUE
7,86,73,FALSE
8,85.7,66.7,FALSE
9,85.9,57.8,FALSE
10,89.5,79.9,FALSE
11,84.8,70,FALSE
12,90.6,74.9,FALSE
13,88.3,71.5,FALSE
14,76.7,57.6,FALSE
15,57.1,62.4,TRUE
16,79.6,65.4,FALSE
17,85.2,69.1,FALSE
18,89.7,77.3,FALSE
19,89,67.5,FALSE
20,75.5,54,FALSE
21,85,58.4,FALSE
22,84.3,63.8,FALSE
23,69.1,77.5,TRUE
24,87.4,74.6,FALSE
25,94.2,77.3,FALSE
26,66.5,77.7,TRUE
27,90.8,70.1,FALSE
28,78,53.4,FALSE
29,90,83.2,FALSE
30,53.2,55.2,TRUE
31,84.8,68.9,FALSE
32,87.6,74.3,FALSE
33,85.1,61.1,FALSE
34,95.3,71.9,FALSE
35,92.1,77.5,FALSE
36,97.8,79,FALSE
37,93.4,82,FALSE
38,82.3,49.7,FALSE
39,84.7,68.5,FALSE
40,91.2,76,FALSE
41,89.2,72.8,FALSE
42,82.1,70.1,FALSE
43,90.5,79.5,FALSE
44,90.3,80.1,FALSE
45,91.6,61.8,FALSE
46,92.8,66.5,FALSE
47,85.4,64.5,FALSE
48,85.1,66.4,FALSE
49,96.3,80.3,FALSE
50,86.1,72.8,FALSE
51,91.6,77.8,FALSE
52,90.7,71.6,FALSE
53,80.4,64,FALSE
54,66.8,63.4,TRUE
55,36.9,49.1,TRUE
56,88.3,64.2,FALSE
57,92,60.1,FALSE
58,78.4,54.7,FALSE
59,87.2,72.9,FALSE
60,77.9,57.6,FALSE
61,91.8,67.2,FALSE
62,71.6,59.9,FALSE
63,77.7,70.2,FALSE
64,84.5,62.4,FALSE
65,83.3,66.1,FALSE
66,64.9,70.1,TRUE
67,80.2,57.2,FALSE
68,93.8,63.4,FALSE
69,82.7,58.9,FALSE
70,80.6,71.6,FALSE
71,80.5,57.3,FALSE
72,93.7,77.2,FALSE
73,80.6,62,FALSE
74,59.9,63.5,TRUE
75,63.7,72,TRUE
76,67.1,69,TRUE
77,83.8,64.1,FALSE
78,80.8,54.3,FALSE
79,92.3,72.5,FALSE
80,78.7,62,FALSE
